rank,type_key,ifc_class,instances,discipline,tier,proposed_code,proposed_code_label,evidence_sibling_type,evidence_sibling_instances,sibling_coded_instances_in_class,sibling_distinct_codes_in_class,join_key_ambiguous
16,Pipe Types:Welded,IfcPipeSegment,943,MECH,derived:ai,,,,,0,0,
17,M_Round Elbow:1.5 D,IfcDuctFitting,811,MECH,derived:ai,,,,,0,0,
18,System Panel:Glazed Spandrel,IfcPlate,805,ARC,derived:ai,,,,,0,0,
19,Basic Wall:Interior - 123mm Partition,IfcWallStandardCase,788,ARC,derived:ai,,,,,0,0,
20,M_Bend - PVC - Sch 40 - DWV:Standard,IfcPipeFitting,771,PLB,derived:sibling,D2090800,Piping & Fittings,Victaulic-Grooved Coupling OGS-AGS:Standard,752,1439,1,no
21,System Panel:Glazed,IfcPlate,762,ARC,derived:ai,,,,,0,0,
22,M_Rectangular to Round Transition - Angle:45 Degree,IfcDuctFitting,732,MECH,derived:ai,,,,,0,0,
23,M_Plain Recessed Lighting Fixture:600x600 - 277,IfcLightFixture,692,ELE,derived:sibling,D5020220,Lighting - Incandescent,M_Pendant Light - Hemisphere:100W - 277V,12,12,1,no
24,UB-Universal Beam:406x178x60UB,IfcBeam,658,STR,derived:ai,,,,,0,0,
25,Rectangular Duct:Radius Elbows / Taps,IfcDuctSegment,657,MECH,derived:ai,,,,,0,0,
26,M_Round Transition - Angle:45 Degree,IfcDuctFitting,590,MECH,derived:ai,,,,,0,0,
27,Sunpower E19 Solar Panel:Sunpower E19 Solar Panel,IfcBuildingElementProxy,567,ARC,derived:sibling,C1030220,Bath & Toilet Accessories - Residential,Shower-Head-w-Adjustable-Bar:Disabled_Shower_Head_with_adjustable_bar_2818,298,963,7,YES
28,Balancing Damper - Round:Standard,IfcBuildingElementProxy,546,MECH,derived:sibling,C1030220,Bath & Toilet Accessories - Residential,Shower-Head-w-Adjustable-Bar:Disabled_Shower_Head_with_adjustable_bar_2818,298,963,7,YES
29,M_Round Takeoff:Standard,IfcDuctFitting,535,MECH,derived:ai,,,,,0,0,
30,M_Rectangular Transition - Angle:45 Degree,IfcDuctFitting,497,MECH,derived:ai,,,,,0,0,
31,System Panel:Glazed Spandrel - SSG,IfcPlate,471,ARC,derived:ai,,,,,0,0,
32,M_Plain Recessed Lighting Fixture:600x1200 - 277,IfcLightFixture,440,ELE,derived:sibling,D5020220,Lighting - Incandescent,M_Pendant Light - Hemisphere:100W - 277V,12,12,1,no
33,UB-Universal Beam:305x165x40UB,IfcBeam,438,STR,derived:ai,,,,,0,0,
34,Compound Ceiling:600 x 600mm grid,IfcCovering,430,ARC,derived:ai,,,,,0,0,
35,M_Rectangular Elbow - Mitered:Standard,IfcDuctFitting,420,MECH,derived:ai,,,,,0,0,
36,Flex Duct Round:Flex - Round,IfcDuctSegment,412,MECH,derived:ai,,,,,0,0,
37,M_Smoke Detector:Plain,IfcDistributionControlElement,401,FIRE,derived:ai,,,,,0,0,
38,Pipe Types:Groved Over 50mm,IfcPipeSegment,387,SPR,derived:ai,,,,,0,0,
