rank,type_key,ifc_class,instances,discipline,tier,proposed_code,proposed_code_label,evidence_sibling_type,evidence_sibling_instances,sibling_coded_instances_in_class,sibling_distinct_codes_in_class,join_key_ambiguous
252,Curtain Wall Dbl Glass:Curtain Wall Dbl Glass,IfcDoor,2,ARC,derived:sibling,B2020200,Curtain Walls,M_Curtain Wall Sgl Glass:M_Curtain Wall Sgl Glass,5,7,2,YES
253,Basic Roof:Cold Roof - Concrete,IfcSlab,2,ARC,derived:ai,,,,,0,0,
254,Basic Wall:Exterior - Blockwork 190,IfcOpeningElement,2,ARC,derived:ai,,,,,0,0,
255,Concrete Fndn Pier at Corner_15 degrees:Concrete Fndn Pier at Corner_15 degrees,IfcColumn,2,STR,derived:ai,,,,,0,0,
256,Wall Foundation:Retaining Footing - 600 x 300 x 300,IfcFooting,2,STR,derived:sibling,A1020130,Piles - Steel Pipe,M_Pile-Steel Pipe:600mm Diameter,324,500,2,YES
257,Basic Wall:Foundation - 200mm Concrete - Retaining,IfcWallStandardCase,2,STR,derived:ai,,,,,0,0,
258,UB-Universal Beam:457x152x52UB,IfcBeam,2,STR,derived:ai,,,,,0,0,
259,M_Footing-Rectangular:1800 x 1800 x 300mm,IfcFooting,2,STR,derived:sibling,A1020130,Piles - Steel Pipe,M_Pile-Steel Pipe:600mm Diameter,324,500,2,YES
260,M_Conduit Junction Box - Tee - Aluminum:Standard,IfcCableCarrierFitting,2,ELE,derived:ai,,,,,0,0,
261,M_Lighting and Appliance Panelboard - 208V MLO:MCB-3,IfcBuildingElementProxy,2,ELE,derived:sibling,C1030220,Bath & Toilet Accessories - Residential,Shower-Head-w-Adjustable-Bar:Disabled_Shower_Head_with_adjustable_bar_2818,298,963,7,YES
262,M_Rectangular Tee:Standard,IfcDuctFitting,2,MECH,derived:ai,,,,,0,0,
263,M_Rectangular Elbow - Radius:2 W,IfcDuctFitting,2,MECH,derived:ai,,,,,0,0,
264,Screw Chiller - Water Cooled - 1055-1934 kW:Heat Exchanger Size 55-57,IfcBuildingElementProxy,2,MECH,derived:sibling,C1030220,Bath & Toilet Accessories - Residential,Shower-Head-w-Adjustable-Bar:Disabled_Shower_Head_with_adjustable_bar_2818,298,963,7,YES
